OBJECTID;equipamien;x;y;identifica;codvia;numportal;telefono;geo_shape;geo_point_2d
23004;INTERDONA;727627.03;4372283.02;005445;67620;S/N;963690860;"{""coordinates"": [-0.35384592559590533, 39.470047462722086], ""type"": ""Point""}";39.470047462722086, -0.35384592559590533
22955;CASA DE LA DONA;725718.751;4371294.352;001480;12390;13;962066618;"{""coordinates"": [-0.3763421537891435, 39.46165079888113], ""type"": ""Point""}";39.46165079888113, -0.3763421537891435
22985;ASOCIACIÓN MUJER Y CULTURA DE SAN MARCELINO;724535.57;4369609.97;001463;37140;20ac;962061564;"{""coordinates"": [-0.39064793877104226, 39.44679858508483], ""type"": ""Point""}";39.44679858508483, -0.39064793877104226
23034;ASOCIACIÓN PROVINCIAL DE AMAS DE CASA Y CONSUMIDORES TYRIUS FUENTE DE SAN LUIS;726650.672;4369393.563;009528;36810;5;963515993;"{""coordinates"": [-0.36616581406408044, 39.444296782106704], ""type"": ""Point""}";39.444296782106704, -0.36616581406408044
20160;EVAP. ASOCIACIÓN DE EMPRESARIAS Y PROFESIONALES DE VALENCIA;725684.186;4372037.409;009613;0;100;963511719;"{""coordinates"": [-0.38334109459233295, 39.47955295919157], ""type"": ""Point""}";39.47955295919157, -0.38334109459233295
23012;ASOCIACIÓN PROVINCIAL DE AMAS DE CASA Y CONSUMIDORES TYRIUS LA TORRE;724404.233;4368214.005;009529;17430;27;963515993;"{""coordinates"": [-0.39264164175514304, 39.43426724649446], ""type"": ""Point""}";39.43426724649446, -0.39264164175514304
22973;FEDERACIÓN DE MUJERES PROGRESISTAS DE LA COMUNIDAD VALENCIANA;;;005442;0;100;963523133;"{""coordinates"": [-0.38334109459233295, 39.47955295919157], ""type"": ""Point""}";39.47955295919157, -0.38334109459233295
22974;RESIDENCIA DE ESTUDIANTES Y TRABAJADORAS ESCLAVAS DE MARÍA 'JUANA MARÍA';725163.31;4372592.279;006402;8340;27;963917188;"{""coordinates"": [-0.38235404169039355, 39.473479139964425], ""type"": ""Point""}";39.473479139964425, -0.38235404169039355
22967;ASOCIACIÓN ALANNA;;;009452;81178;3;963393877;"{""coordinates"": [-0.35328599962160184, 39.47873399988993], ""type"": ""Point""}";39.47873399988993, -0.35328599962160184
23037;ASSOCIACIÓ DE DONES ANTÍGONA;728950.452;4371234.396;009535;37290;15;661515838;"{""coordinates"": [-0.33883653302805355, 39.4602579087561], ""type"": ""Point""}";39.4602579087561, -0.33883653302805355
